Pi,Tank,Brood,Treatment,Date,Age-at-collection,Age_DPF,Behaviors,VidLength,NumFish,Grader
rpi5,1,CNG032024C,CNG +/+,3/30/2024,10,20,0,30,5,MW
rpi5,2,CNG032024C,CNG D52I2/D52I2,3/30/2024,10,20,1,30,5,MW
rpi5,1,CNG032024C,CNG +/+,4/3/2024,10,24,44,30,5,MW
rpi5,2,CNG032024C,CNG D52I2/D52I2,4/3/2024,10,24,56,30,5,MW
piz1,1,CNG032024C,CNG +/+,4/11/2024,10,32,87,30,5,MW
piz1,2,CNG032024C,CNG D52I2/D52I2,4/11/2024,10,32,124,30,5,MW
piz2,3,CNG032024B,CNG D52I2/+,4/4/2024,3,18,1,30,5,MW
piz2,4,CNG032024B,CNG D52I2/D52I2,4/4/2024,3,18,0,30,5,MW
piz2,3,CNG032024B,CNG D52I2/+,4/6/2024,3,20,0,30,5,MW
piz2,4,CNG032024B,CNG D52I2/D52I2,4/6/2024,3,20,2,30,5,MW
piz2,3,CNG032024B,CNG D52I2/+,4/8/2024,3,22,6,30,5,MW
piz2,4,CNG032024B,CNG D52I2/D52I2,4/8/2024,3,22,109,30,5,MW
piz2,3,CNG032024B,CNG D52I2/+,4/11/2024,3,25,19,30,5,MW
piz2,4,CNG032024B,CNG D52I2/D52I2,4/11/2024,3,25,56,30,5,MW
