Experiment,Tank,Brood,Treatment,Date,Age at Collection,Age,Behaviors,Bites,Chases,Extended,Frontal,Lateral,VidLength,NumFish,Grader
1,1,CNG032024C,CNG +/+,3/30/2024,10,20,0,0,0,0,0,0,30,5,MW
1,1,CNG032024C,CNG +/+,4/1/2024,10,22,0,0,0,0,0,0,30,5,MW
1,1,CNG032024C,CNG +/+,4/3/2024,10,24,44,5,39,1,0,0,30,5,MW
1,1,CNG032024C,CNG +/+,4/4/2024,10,25,1,0,1,0,0,0,30,5,MW
1,1,CNG032024C,CNG +/+,4/6/2024,10,27,37,0,36,1,0,1,30,5,MW
1,1,CNG032024C,CNG +/+,4/11/2024,10,30,87,0,82,0,0,5,30,5,MW
3,1,CNG040924A,CNG +/+,4/18/2024,5,14,0,0,0,0,0,0,8,5,ME
3,1,CNG040924A,CNG +/+,4/20/2024,5,16,0,0,0,0,0,0,30,5,ME
3,1,CNG040924A,CNG +/+,4/22/2024,5,18,0,0,0,0,0,0,30,5,ME
3,1,CNG040924A,CNG +/+,4/24/2024,5,20,0,0,0,0,0,0,22,5,ME
3,1,CNG040924A,CNG +/+,4/26/2024,5,22,1,,,,,,30,5,ME
3,1,CNG040924A,CNG +/+,4/29/2024,5,25,0,0,0,0,0,0,24,5,ME
3,1,CNG040924A,CNG +/+,5/1/2024,5,27,16,,,,,,30,5,ME
3,1,CNG040924A,CNG +/+,5/6/2024,5,30,7,,,,,,15,5,MW
4,4,CNG,CNG +/+,4/18/2024,,14,0,0,0,0,0,0,8,5,ME
4,4,CNG,CNG +/+,4/20/2024,,16,0,0,0,0,0,0,30,5,ME
4,4,CNG,CNG +/+,4/22/2024,,18,0,0,0,0,0,0,39,5,ME
4,4,CNG,CNG +/+,4/24/2024,,20,0,0,0,0,0,0,21,5,ME
4,4,CNG,CNG +/+,4/26/2024,,22,8,,,,,,30,5,ME
4,4,CNG,CNG +/+,4/29/2024,,25,4,,,,,,24,5,ME
4,4,CNG,CNG +/+,5/1/2024,,27,10,,,,,,30,5,ME
5,1,,CNG +/+,9/8/2024,10,15,3,2,1,0,0,0,30,5,mw
5,1,,CNG +/+,9/10/2024,10,17,2,0,2,0,0,0,30,5,mw
