Observation id,Total length,Behavior,Start (s),Comment start,Comment stop
02-27-2023_21dpf__L,1926.87,C,0.302,,
02-27-2023_21dpf__L,1926.87,C,14.152,,
02-27-2023_21dpf__L,1926.87,C,17.287,,
02-27-2023_21dpf__L,1926.87,C,33.411,,
02-27-2023_21dpf__L,1926.87,C,56.851,,
02-27-2023_21dpf__L,1926.87,C,60.501,,
02-27-2023_21dpf__L,1926.87,C,69.501,,
02-27-2023_21dpf__L,1926.87,C,75.003,,
02-27-2023_21dpf__L,1926.87,C,79.502,,
02-27-2023_21dpf__L,1926.87,C,94.501,,
02-27-2023_21dpf__L,1926.87,C,96.002,,
02-27-2023_21dpf__L,1926.87,C,101.002,,
02-27-2023_21dpf__L,1926.87,C,135.502,,
02-27-2023_21dpf__L,1926.87,C,139.002,,
02-27-2023_21dpf__L,1926.87,C,141.502,,
02-27-2023_21dpf__L,1926.87,C,150.501,,
02-27-2023_21dpf__L,1926.87,C,162.603,,
02-27-2023_21dpf__L,1926.87,C,174.602,,
02-27-2023_21dpf__L,1926.87,C,178.102,,
02-27-2023_21dpf__L,1926.87,C,196.101,,
02-27-2023_21dpf__L,1926.87,C,201.101,,
02-27-2023_21dpf__L,1926.87,C,203.602,,
02-27-2023_21dpf__L,1926.87,C,216.102,,
02-27-2023_21dpf__L,1926.87,C,221.102,,
02-27-2023_21dpf__L,1926.87,C,240.101,,
02-27-2023_21dpf__L,1926.87,C,248.102,,
02-27-2023_21dpf__L,1926.87,C,258.101,,
02-27-2023_21dpf__L,1926.87,C,275.101,,
02-27-2023_21dpf__L,1926.87,C,289.922,,
02-27-2023_21dpf__L,1926.87,C,297.923,,
02-27-2023_21dpf__L,1926.87,C,301.422,,
02-27-2023_21dpf__L,1926.87,C,306.422,,
02-27-2023_21dpf__L,1926.87,C,312.923,,
02-27-2023_21dpf__L,1926.87,C,322.422,,
02-27-2023_21dpf__L,1926.87,C,337.923,,
02-27-2023_21dpf__L,1926.87,C,358.422,,
02-27-2023_21dpf__L,1926.87,C,364.424,,
02-27-2023_21dpf__L,1926.87,C,368.923,,
02-27-2023_21dpf__L,1926.87,C,404.421,,
02-27-2023_21dpf__L,1926.87,C,409.922,,
02-27-2023_21dpf__L,1926.87,C,412.422,,
02-27-2023_21dpf__L,1926.87,C,433.93,,
02-27-2023_21dpf__L,1926.87,C,435.922,,
02-27-2023_21dpf__L,1926.87,C,450.422,,
02-27-2023_21dpf__L,1926.87,C,481.923,,
02-27-2023_21dpf__L,1926.87,C,483.93,,
02-27-2023_21dpf__L,1926.87,C,500.722,,
02-27-2023_21dpf__L,1926.87,C,510.472,,
02-27-2023_21dpf__L,1926.87,C,531.104,,
02-27-2023_21dpf__L,1926.87,C,533.102,,
02-27-2023_21dpf__L,1926.87,C,535.102,,
02-27-2023_21dpf__L,1926.87,C,540.112,,
02-27-2023_21dpf__L,1926.87,C,543.605,,
02-27-2023_21dpf__L,1926.87,C,554.102,,
02-27-2023_21dpf__L,1926.87,C,559.102,,
02-27-2023_21dpf__L,1926.87,C,564.104,,
02-27-2023_21dpf__L,1926.87,C,580.106,,
02-27-2023_21dpf__L,1926.87,C,592.605,,
02-27-2023_21dpf__L,1926.87,C,600.106,,
02-27-2023_21dpf__L,1926.87,C,601.606,,
02-27-2023_21dpf__L,1926.87,C,620.603,,
02-27-2023_21dpf__L,1926.87,C,625.107,,
02-27-2023_21dpf__L,1926.87,C,636.109,,
02-27-2023_21dpf__L,1926.87,C,676.352,,
02-27-2023_21dpf__L,1926.87,C,696.853,,
02-27-2023_21dpf__L,1926.87,C,701.352,,
02-27-2023_21dpf__L,1926.87,C,704.859,,
02-27-2023_21dpf__L,1926.87,C,713.357,,
02-27-2023_21dpf__L,1926.87,C,723.35,,
02-27-2023_21dpf__L,1926.87,C,727.355,,
02-27-2023_21dpf__L,1926.87,C,753.352,,
02-27-2023_21dpf__L,1926.87,C,755.352,,
02-27-2023_21dpf__L,1926.87,C,774.355,,
02-27-2023_21dpf__L,1926.87,C,780.853,,
