Experiment,Pi,Tank,Treatment,Date,Age,Normalized_Behaviors,Behaviors,Bites,Chases,Extended,Frontal,Lateral,VidLength,NumFish,Grader,Notes
2,2,3,EE,8/4/2023,22,5,30,0,29,0,0,1,30,5,MW,
2,2,3,EE,8/6/2023,24,14.16666667,85,0,82,1,0,2,30,5,MW,
2,2,3,EE,8/12/2023,30,31.83333333,191,0,185,2,0,4,30,5,MW,
3,1,1,EE,12/13/2023,15,0.5,3,2,1,0,0,0,30,5,MW,
3,2,4,DMSO,12/13/2023,15,0,0,0,0,0,0,0,30,5,MW,
3,1,1,EE,12/15/2023,17,0,0,0,0,0,0,0,30,5,MW,
3,1,2,EE,12/15/2023,17,0.333333333,2,1,1,0,0,0,30,5,MW,
3,2,3,KT,12/15/2023,17,0.166666667,1,0,1,0,0,0,30,5,MW,
3,2,4,DMSO,12/15/2023,17,1.166666667,7,0,7,0,0,0,30,5,MW,
3,4,7,EE,12/15/2023,17,0,0,0,0,0,0,0,30,5,MW,
3,4,8,DMSO,12/15/2023,17,0.333333333,2,0,2,0,0,0,30,5,MW,
3,1,2,EE,12/18/2023,20,8,48,1,45,2,0,0,30,5,MW,
3,2,3,KT,12/18/2023,20,5.666666667,34,0,30,4,0,0,30,5,MW,
3,2,4,DMSO,12/18/2023,20,12.66666667,76,0,72,3,0,1,30,5,MW,
3,3,5,KT,12/18/2023,20,7.833333333,47,0,45,0,0,2,30,5,MW,
3,3,6,KT,12/18/2023,20,9.833333333,59,0,51,1,0,7,30,5,MW,
3,4,7,EE,12/18/2023,20,13.5,81,0,76,0,0,6,30,5,MW,
3,4,8,DMSO,12/18/2023,20,2.166666667,13,2,10,0,0,1,30,5,MW,
3,1,2,EE,12/22/2023,24,14.33333333,86,0,79,4,0,3,30,5,MW,
3,2,3,KT,12/22/2023,24,8.333333333,50,0,45,4,0,1,30,5,MW,
3,2,4,DMSO,12/22/2023,24,14.83333333,89,0,85,0,0,4,30,5,MW,
3,2,3,KT,12/25/2023,27,0,0,0,0,0,0,0,30,5,MW,
3,2,4,DMSO,12/25/2023,27,3.333333333,20,0,13,1,0,6,30,5,MW,
3,2,3,KT,12/29/2023,31,28.16666667,169,0,165,1,0,3,30,5,MW,
3,2,4,DMSO,12/29/2023,31,20,120,1,114,0,0,5,30,5,MW,
4,1,1,KT,1/19/2024,15,0,0,0,0,0,0,0,30,5,MW,
4,1,2,DMSO,1/19/2024,15,0.166666667,1,0,1,0,0,0,30,5,MW,
4,2,3,EE,1/19/2024,15,0,0,0,0,0,0,0,30,5,MW,
4,2,4,DMSO,1/19/2024,15,0,0,0,0,0,0,0,30,5,MW,
4,4,8,KT,1/19/2024,15,0,0,0,0,0,0,0,30,5,MW,
4,1,1,KT,1/21/2024,17,0.666666667,4,0,4,0,0,0,30,5,MW,
4,1,2,DMSO,1/21/2024,17,0.166666667,1,0,1,0,0,0,30,5,MW,
4,2,3,EE,1/21/2024,17,0.166666667,1,0,1,0,0,0,30,5,MW,
4,2,4,DMSO,1/21/2024,17,0.333333333,2,0,1,0,0,1,30,5,MW,
4,3,5,KT,1/21/2024,17,0,0,0,0,0,0,0,30,5,MW,
4,4,8,KT,1/21/2024,17,0,0,0,0,0,0,0,30,5,MW,
4,1,1,KT,1/24/2024,20,28.16666667,169,1,165,1,0,2,30,5,MW,
4,1,2,DMSO,1/24/2024,20,22.66666667,136,2,133,0,0,1,30,5,MW,
4,2,3,EE,1/24/2024,20,24.5,147,0,145,2,0,0,30,5,MW,
4,4,8,KT,1/24/2024,20,5.333333333,32,0,32,0,0,0,30,5,MW,
4,1,1,KT,1/26/2024,22,4.666666667,28,2,26,0,0,0,30,5,MW,
4,1,2,DMSO,1/26/2024,22,15.83333333,95,0,90,2,0,3,30,5,MW,
4,2,3,EE,1/26/2024,22,7.333333333,44,0,42,1,0,1,30,5,MW,
4,2,4,DMSO,1/26/2024,22,1.5,9,1,8,0,0,0,30,5,MW,
4,4,8,KT,1/26/2024,22,15.5,93,0,93,0,0,0,30,5,MW,
4,1,1,KT,1/28/2024,24,2.833333333,17,0,17,0,0,0,30,5,MW,
4,1,2,DMSO,1/28/2024,24,4,24,2,20,0,0,2,30,5,MW,
4,2,3,EE,1/28/2024,24,29,174,0,168,6,0,0,30,5,MW,
4,4,8,KT,1/28/2024,24,19.16666667,115,0,111,0,0,4,30,5,MW,
4,1,1,KT,1/31/2024,27,1.333333333,8,0,7,0,0,1,30,5,MW,
4,1,2,DMSO,1/31/2024,27,1.166666667,7,0,5,0,0,2,30,5,MW,
4,2,3,EE,1/31/2024,27,28.16666667,169,0,162,7,0,0,30,5,MW,
4,2,4,DMSO,1/31/2024,27,1.666666667,10,1,8,0,0,1,30,5,MW,
4,4,8,KT,1/31/2024,27,53.83333333,323,0,307,11,0,5,30,5,MW,
4,1,1,KT,2/3/2024,30,37.33333333,224,2,213,2,0,7,30,5,MW,
4,1,2,DMSO,2/3/2024,30,21.66666667,130,1,124,0,0,5,30,5,MW,
4,2,3,EE,2/3/2024,30,32.83333333,197,0,185,7,0,5,30,5,MW,
4,2,4,DMSO,2/3/2024,30,17.16666667,103,1,85,2,1,14,30,5,MW,
4,4,8,KT,2/3/2024,30,37.5,225,0,213,2,0,10,30,5,MW,
5,piz3,4,DMSO,4/24/2024,15,0.166666667,1,1,0,0,0,0,30,5,MW,
5,piz4,5,EE,4/24/2024,15,0,0,0,0,0,0,0,30,5,MW,
5,piz4,6,KT,4/24/2024,15,0,0,0,0,0,0,0,30,5,MW,
5,piz2,2,DMSO,4/26/2024,17,6.5,39,0,39,0,0,0,30,5,MW,
5,piz3,4,DMSO,4/26/2024,17,0,0,0,0,0,0,0,8,5,MW,
5,piz4,5,EE,4/26/2024,17,0,0,0,0,0,0,0,30,5,MW,
5,piz4,6,KT,4/26/2024,17,0,0,0,0,0,0,0,30,5,MW,
5,piz2,2,DMSO,4/29/2024,20,2,12,0,10,0,0,2,30,5,MW,
5,piz3,4,DMSO,4/29/2024,20,0,0,0,0,0,0,0,30,5,MW,
5,piz4,5,EE,4/29/2024,20,0.166666667,1,0,1,0,0,0,30,5,MW,
5,piz2,2,DMSO,5/1/2024,22,2.833333333,17,0,15,0,0,2,30,5,MW,
5,piz3,4,DMSO,5/1/2024,22,6,36,0,35,0,0,1,25,5,MW,
5,piz4,5,EE,5/1/2024,22,1.833333333,11,0,11,0,0,0,30,5,MW,
5,piz4,6,KT,5/1/2024,22,0.666666667,4,1,2,1,0,1,30,5,MW,
5,piz3,4,DMSO,5/3/2024,24,2.166666667,13,2,11,0,0,0,30,5,MW,
5,piz4,5,EE,5/3/2024,24,6.166666667,37,0,35,0,0,2,30,5,MW,
5,piz4,6,KT,5/3/2024,24,20.5,123,0,119,1,0,4,30,5,MW,
5,piz2,2,DMSO,5/6/2024,27,0.166666667,1,0,1,0,0,0,30,5,MW,
5,piz3,4,DMSO,5/6/2024,27,11.33333333,68,1,67,0,0,0,15,5,MW,FILMED 2X SPEED
5,piz4,5,EE,5/6/2024,27,0,0,0,0,0,0,0,30,5,MW,
5,piz4,6,KT,5/6/2024,27,0.5,3,0,3,0,0,0,30,5,MW,
5,piz2,2,DMSO,5/9/2024,30,18.16666667,109,0,105,0,0,4,30,5,MW,
5,piz3,4,DMSO,5/9/2024,30,3.166666667,19,0,18,0,0,1,30,5,MW,FILMED 2X SPEED
5,piz4,5,EE,5/9/2024,30,0.833333333,5,0,4,0,0,1,30,5,MW,
5,piz4,6,KT,5/9/2024,30,19.5,117,2,113,1,0,2,30,5,MW,VIDEO PARTIALLY OBSTRUCTED
6,1,1,EE,5/17/2024,15,0,0,0,0,0,0,0,30,5,MW,
6,1,2,KT,5/17/2024,15,0,0,0,0,0,0,0,30,5,MW,
6,2,3,EE,5/17/2024,15,0.333333333,2,1,1,0,0,0,30,5,MW,
6,2,4,DMSO,5/17/2024,15,0,0,0,0,0,0,0,30,5,MW,
6,1,1,EE,5/19/2024,17,2.5,15,1,14,0,0,0,30,5,MW,
6,1,2,KT,5/19/2024,17,0,0,0,0,0,0,0,30,5,MW,
6,2,3,EE,5/19/2024,17,0.166666667,1,0,1,0,0,0,30,5,MW,
6,2,4,DMSO,5/19/2024,17,0,0,0,0,0,0,0,30,5,MW,
6,1,1,EE,5/22/2024,20,3.166666667,19,0,18,0,0,1,30,5,MW,
6,1,2,KT,5/22/2024,20,2,12,0,11,0,0,1,30,5,MW,
6,2,3,EE,5/22/2024,20,0.5,3,0,2,0,0,1,30,5,MW,
6,2,4,DMSO,5/22/2024,20,0.666666667,4,0,3,0,0,1,30,5,MW,
6,1,1,EE,5/24/2024,22,0.5,3,0,3,0,0,0,30,5,MW,
6,1,2,KT,5/24/2024,22,0.166666667,1,1,0,0,0,0,30,5,MW,
6,2,3,EE,5/24/2024,22,0.5,3,0,2,0,0,1,30,5,MW,
6,2,4,DMSO,5/24/2024,22,0.333333333,2,0,0,0,0,2,30,5,MW,
6,1,1,EE,5/26/2024,24,0.666666667,4,0,4,0,0,0,30,5,MW,
6,1,2,KT,5/26/2024,24,0.333333333,2,0,2,0,0,0,30,5,MW,
6,2,3,EE,5/26/2024,24,0,0,0,0,0,0,0,30,5,MW,
6,2,4,DMSO,5/26/2024,24,0.333333333,2,0,1,0,0,1,30,5,MW,
6,1,1,EE,5/29/2024,27,19.66666667,118,2,114,0,0,2,30,5,MW,
6,1,2,KT,5/29/2024,27,38,228,0,218,1,0,10,30,5,MW,
6,2,3,EE,5/29/2024,27,14,84,0,80,0,0,4,30,5,MW,
6,2,4,DMSO,5/29/2024,27,41.33333333,248,0,238,0,0,10,30,5,MW,
6,1,1,EE,6/1/2024,30,16,96,1,91,1,0,4,30,5,MW,
6,1,2,KT,6/1/2024,30,33.83333333,203,0,201,0,0,2,30,5,MW,
7,2,1,EE,5/31/2024,15,0.5,3,1,2,0,0,0,30,5,MW,
7,2,2,KT,5/31/2024,15,0.166666667,1,1,0,0,0,0,30,5,MW,
7,3,3,EE,5/31/2024,15,0,,,,,,,,,,
7,3,4,KT,5/31/2024,15,0,0,0,0,0,0,0,30,5,MW,
7,4,5,DMSO,5/31/2024,15,0.166666667,1,0,1,0,0,0,30,5,MW,
