Experiment,Tank,Treatment,Date,Age,Behaviors,Bites,Chases,Extended,Lateral,Frontal,VidLength,NumFish,Grader,Notes
3,1,Het,7/12/2024,15,2,2,0,0,0,0,30,5,ME,
3,2,Homo,7/12/2024,15,0,0,0,0,0,0,30,5,ME,
3,3,Homo,7/12/2024,15,0,0,0,0,0,0,30,5,ME,
3,1,Het,7/14/2024,17,,,,,,,,,,
3,2,Homo,7/14/2024,17,7,0,7,0,0,0,30,4,ME,
3,3,Homo,7/14/2024,17,20,1,18,0,1,0,30,5,ME,
3,1,Het,7/17/2024,20,,,,,,,,,,
3,2,Homo,7/17/2024,20,,,,,,,,,,
3,3,Homo,7/17/2024,20,90,1,83,5,1,0,30,5,ME,
3,1,Het,7/19/2024,22,,,,,,,,,,
3,2,Homo,7/19/2024,22,,,,,,,,,,
3,3,Homo,7/19/2024,22,73,0,70,2,1,0,30,5,ME,
3,1,Het,7/21/2024,24,,,,,,,,,,
3,2,Homo,7/21/2024,24,,,,,,,,,,
3,3,Homo,7/21/2024,24,37,0,37,0,0,0,30,5,ME,
4,1,Het,7/29/2024,17,1,0,1,0,0,0,30,5,ME,
4,2,Homo,7/29/2024,17,67,0,63,4,0,0,30,4,ME,
4,1,Het,8/3/2024,22,,,,,,,,,,
4,2,Homo,8/3/2024,22,0,0,0,0,0,0,30,5,ME,
4,1,Het,8/5/2024,24,,,,,,,,,,
4,2,Homo,8/5/2024,24,0,0,0,0,0,0,30,5,ME,
4,1,Het,8/7/2024,26,,,,,,,,,,
4,2,Homo,8/7/2024,26,64,0,63,1,0,0,30,5,ME,
5,1,Het,8/9/2024,18,1,0,1,0,0,0,30,5,MW,
5,1,Het,8/11/2024,20,0,0,0,0,0,0,30,5,MW,
5,1,Het,8/13/2024,22,54,0,53,0,1,0,30,5,MW,
5,1,Het,8/15/2024,24,2,0,2,0,0,0,30,5,MW,
6,1,Homo,8/26/2024,15,0,0,0,0,0,0,30,5,ME,
6,2,Homo,8/26/2024,15,0,0,0,0,0,0,30,5,ME,
6,1,Homo,8/28/2024,17,0,0,0,0,0,0,30,5,ME,
6,2,Homo,8/28/2024,17,0,0,0,0,0,0,30,5,ME,
6,1,Homo,8/31/2024,20,2,0,2,0,0,0,30,5,ME,
6,2,Homo,8/31/2024,20,0,0,0,0,0,0,30,5,ME,
6,1,Homo,9/2/2024,22,0,0,0,0,0,0,30,5,ME,
6,2,Homo,9/2/2024,22,,,,,,,30,5,ME,
6,1,Homo,9/4/2024,24,0,0,0,0,0,0,30,5,ME,
6,2,Homo,9/4/2024,24,,,,,,,30,5,ME,
6,1,Homo,9/7/2024,27,310,3,297,8,2,0,30,5,ME,
6,2,Homo,9/7/2024,27,,,,,,,30,5,ME,
7,1,Het,9/25/2024,15,0,0,0,0,0,0,30,5,MW,
7,2,Het,9/25/2024,15,0,0,0,0,0,0,30,5,MW,
7,3,Het,9/25/2024,15,0,0,0,0,0,0,30,5,MW,
7,4,Homo,9/25/2024,15,0,0,0,0,0,0,30,5,MW,
7,1,Het,9/27/2024,17,5,0,5,0,0,0,30,5,MW,
7,2,Het,9/27/2024,17,80,1,79,0,0,0,30,5,MW,
7,3,Het,9/27/2024,17,66,0,66,0,0,0,30,5,MW,
7,4,Homo,9/27/2024,17,11,0,11,0,0,0,30,5,MW,
7,1,Het,9/30/2024,20,79,0,79,2,0,0,30,5,MW,
7,2,Het,9/30/2024,20,119,0,119,0,0,0,30,5,MW,
7,3,Het,9/30/2024,20,76,0,76,1,0,0,30,5,MW,
7,4,Homo,9/30/2024,20,196,0,194,3,2,0,30,5,MW,
7,1,Het,10/2/2024,22,9,1,8,0,0,0,30,5,MW,
7,2,Het,10/2/2024,22,6,0,6,0,0,0,30,5,MW,
7,3,Het,10/2/2024,22,1,0,1,0,0,0,30,5,MW,
7,4,Homo,10/2/2024,22,22,0,22,2,0,0,30,5,MW,
7,1,Het,10/4/2024,24,41,1,40,0,0,0,30,5,MW,
7,2,Het,10/4/2024,24,42,0,41,1,1,0,30,5,MW,
7,3,Het,10/4/2024,24,8,1,7,0,0,0,30,5,MW,
7,4,Homo,10/4/2024,24,108,0,108,0,0,0,30,5,MW,
7,1,Het,10/7/2024,27,40,0,40,0,0,0,30,5,MW,
7,2,Het,10/7/2024,27,47,0,46,0,1,0,30,5,MW,
7,3,Het,10/7/2024,27,3,0,3,0,0,0,30,5,MW,
7,4,Homo,10/7/2024,27,63,0,63,0,0,0,30,5,MW,
7,1,Het,10/10/2024,30,68,0,68,0,0,0,30,5,MW,
7,2,Het,10/10/2024,30,55,0,55,0,0,0,30,5,MW,
7,3,Het,10/10/2024,30,24,0,24,0,0,0,30,5,MW,
7,4,Homo,10/10/2024,30,120,0,119,6,1,0,30,5,MW,
