Pi,Tank,Treatment,Date,Age,Behaviors,WeirdSwims,VidLength,NumFish,Grader,Notes
1,1,NaOH,6/20/2024,15,1,0,30,5,MW,
1,2,Thyroxine,6/20/2024,15,1,3,30,5,MW,
2,3,NaOH,6/20/2024,15,2,2,30,5,MW,
2,4,Thiourea,6/20/2024,15,0,3,30,5,MW,
3,5,Thyroxine,6/20/2024,15,2,5,30,5,MW,
3,6,Thiourea,6/20/2024,15,0,1,30,5,MW,
4,7,Thyroxine,6/20/2024,15,1,10,30,5,MW,
4,8,Thiourea,6/20/2024,15,1,0,30,5,MW,
1,1,NaOH,6/22/2024,17,3,2,30,5,MW,
1,2,Thyroxine,6/22/2024,17,6,2,30,5,MW,
2,3,NaOH,6/22/2024,17,0,1,30,5,MW,
2,4,Thiourea,6/22/2024,17,1,0,30,5,MW,
3,5,Thyroxine,6/22/2024,17,7,5,30,5,MW,
3,6,Thiourea,6/22/2024,17,2,1,30,5,MW,
4,7,Thyroxine,6/22/2024,17,0,11,30,5,MW,
4,8,Thiourea,6/22/2024,17,4,2,30,5,MW,
1,1,NaOH,6/25/2024,20,1,0,30,5,MW,
1,2,Thyroxine,6/25/2024,20,3,0,30,5,MW,
2,3,NaOH,6/25/2024,20,1,1,30,5,MW,
2,4,Thiourea,6/25/2024,20,0,1,30,5,MW,
3,5,Thyroxine,6/25/2024,20,14,8,30,5,MW,
3,6,Thiourea,6/25/2024,20,0,3,30,5,MW,
4,7,Thyroxine,6/25/2024,20,19,11,30,5,MW,
4,8,Thiourea,6/25/2024,20,2,1,30,5,MW,
1,1,NaOH,6/27/2024,22,19,0,30,5,MW,
1,2,Thyroxine,6/27/2024,22,0,3,30,5,MW,
2,3,NaOH,6/27/2024,22,0,1,30,5,MW,
2,4,Thiourea,6/27/2024,22,2,1,30,5,MW,
3,5,Thyroxine,6/27/2024,22,15,14,30,5,MW,
3,6,Thiourea,6/27/2024,22,2,1,30,5,MW,
4,7,Thyroxine,6/27/2024,22,,,,,,NO VIDEO
4,8,Thiourea,6/27/2024,22,,,,,,NO VIDEO
1,1,NaOH,6/29/2024,24,45,0,30,5,MW,DISTURBANCE IN VID
1,2,Thyroxine,6/29/2024,24,25,0,30,5,MW,DISTURBANCE IN VID
2,3,NaOH,6/29/2024,24,84,1,30,5,MW,DISTURBANCE IN VID
2,4,Thiourea,6/29/2024,24,89,0,30,5,MW,DISTURBANCE IN VID
3,5,Thyroxine,6/29/2024,24,,,,,,NO VIDEO
3,6,Thiourea,6/29/2024,24,,,,,,NO VIDEO
4,7,Thyroxine,6/29/2024,24,38,0,30,5,MW,DISTURBANCE IN VID
4,8,Thiourea,6/29/2024,24,119,0,30,5,MW,DISTURBANCE IN VID
1,1,NaOH,7/2/2024,27,202,0,30,5,MW,
1,2,Thyroxine,7/2/2024,27,85,0,30,5,MW,
2,3,NaOH,7/2/2024,27,93,1,30,5,MW,
2,4,Thiourea,7/2/2024,27,171,0,30,5,MW,
3,5,Thyroxine,7/2/2024,27,334,0,30,5,MW,
3,6,Thiourea,7/2/2024,27,162,1,30,5,MW,
4,7,Thyroxine,7/2/2024,27,,,30,4,MW,Fish died
4,8,Thiourea,7/2/2024,27,198,0,30,5,MW,
1,1,NaOH,7/5/2024,30,263,0,30,5,MW,
1,2,Thyroxine,7/5/2024,30,101,3,30,5,MW,
2,3,NaOH,7/5/2024,30,344,0,30,5,MW,
2,4,Thiourea,7/5/2024,30,218,0,30,5,MW,
3,5,Thyroxine,7/5/2024,30,234,2,30,5,MW,
3,6,Thiourea,7/5/2024,30,148,0,30,5,MW,
4,7,Thyroxine,7/5/2024,30,,,30,4,MW,Fish died
4,8,Thiourea,7/5/2024,30,194,0,30,5,MW,
