file_name,ID,age_dpf,grouped_age,lighting,chases,bites,mutual_chases,lateral_displays,total_aggressive_behaviors,totalaggressivebehaviors_normalized
07-23-2024_wt_group1_light_first_17dpf_last30_T1_L,1,17,17.5,Control,0,1,0,0,1,0.166666667
07-27-2024_wt_group1_light_first_21dpf_last30_T1_L,1,21,21.5,Control,0,1,0,3,4,0.666666667
08-01-2024_wt_group1_light_second_26dpf_last30_T1_L,1,26,25.5,Control,1,12,0,0,13,2.166666667
08-05-2024_wt_group1_light_second_30dpf_last30_T1_L,1,30,29.5,Control,90,21,4,4,119,19.83333333
07-23-2024_wt_group1_light_first_17dpf_last30_T2_R,2,17,17.5,Control,0,0,0,0,0,0
07-27-2024_wt_group1_light_first_21dpf_last30_T2_R,2,21,21.5,Control,131,6,49,18,204,34
08-01-2024_wt_group1_light_second_26dpf_last30_T2_R,2,26,25.5,Control,44,14,1,14,73,12.16666667
08-05-2024_wt_group1_light_second_30dpf_last30_T2_R,2,30,29.5,Control,100,14,6,13,133,22.16666667
07-24-2024_wt_group1_dark_second_18dpf_last30_T3_L,3,18,17.5,Dark,0,0,0,0,0,0
07-28-2024_wt_group1_dark_second_22dpf_last30_T3_L,3,22,21.5,Dark,0,0,0,0,0,0
07-31-2024_wt_group1_dark_first_25dpf_last30_T3_L,3,25,25.5,Dark,4,8,0,0,12,2
08-04-2024_wt_group1_dark_first_29dpf_last30_T3_L,3,29,29.5,Dark,15,22,0,4,41,6.833333333
07-24-2024_wt_group1_dark_second_18dpf_last30_T4_R,4,18,17.5,Dark,0,0,0,0,0,0
07-28-2024_wt_group1_dark_second_22dpf_last30_T4_R,4,22,21.5,Dark,1,0,0,0,1,0.166666667
07-31-2024_wt_group1_dark_first_25dpf_last30_T4_R,4,25,25.5,Dark,3,5,0,0,8,1.333333333
08-04-2024_wt_group1_dark_first_29dpf_last30_T4_R,4,29,29.5,Dark,9,21,0,2,32,5.333333333
07-26-2024_wt_group2_light_second_18dpf_last30_T5_L,5,18,17.5,Control,3,0,0,0,3,0.5
07-29-2024_wt_group2_light_first_21dpf_last30_T5_L,5,21,21.5,Control,0,0,0,0,0,0
08-02-2024_wt_group2_light_first_25dpf_last30_T5_L,5,25,25.5,Control,3,1,0,2,6,1
08-07-2024_wt_group2_light_second_30dpf_last30_T5_L,5,30,29.5,Control,3,3,0,0,6,1
07-26-2024_wt_group2_light_second_18dpf_last30_T6_R,6,18,17.5,Control,3,0,0,0,3,0.5
07-29-2024_wt_group2_light_first_21dpf_last30_T6_R,6,21,21.5,Control,0,0,0,0,0,0
08-02-2024_wt_group2_light_first_25dpf_last30_T6_R,6,25,25.5,Control,5,3,0,1,9,1.5
08-07-2024_wt_group2_light_second_30dpf_last30_T6_R,6,30,29.5,Control,19,10,0,4,33,5.5
07-25-2024_wt_group2_dark_first_17dpf_last30_T7_L,7,17,17.5,Dark,0,0,0,0,0,0
07-30-2024_wt_group2_dark_second_22dpf_last30_T7_L,7,22,21.5,Dark,1,0,0,0,1,0.166666667
08-03-2024_wt_group2_dark_second_26dpf_last30_T7_L,7,26,25.5,Dark,10,21,0,0,31,5.166666667
08-06-2024_wt_group2_dark_first_29dpf_last30_T7_L,7,29,29.5,Dark,2,13,0,0,15,2.5
07-25-2024_wt_group2_dark_first_17dpf_last30_T8_R,8,17,17.5,Dark,0,0,0,0,0,0
07-30-2024_wt_group2_dark_second_22dpf_last30_T8_R,8,22,21.5,Dark,1,1,0,0,2,0.333333333
08-03-2024_wt_group2_dark_second_26dpf_last30_T8_R,8,26,25.5,Dark,1,8,0,1,10,1.666666667
08-06-2024_wt_group2_dark_first_29dpf_last30_T8_R,8,29,29.5,Dark,4,9,0,0,13,2.166666667
wt_in_dark_last30_17dpf_R_tank1,9,17,17.5,Dark,0,0,0,0,0,0
wt_in_dark_last30_21dpf_R_tank1,9,21,21.5,Dark,0,0,0,0,0,0
wt_in_dark_last30_25dpf_R_tank1,9,25,25.5,Dark,1,1,0,0,2,0.333333333
wt_in_dark_last30_17dpf_L_tank2,10,17,17.5,Dark,0,0,0,0,0,0
wt_in_dark_last30_21dpf_L_tank2,10,21,21.5,Dark,2,6,0,0,8,1.333333333
wt_in_dark_last30_25dpf_L_tank2,10,25,25.5,Dark,0,0,0,0,0,0
wt_in_light_last30_18dpf_L_tank3,11,18,17.5,Control,0,0,0,0,0,0
wt_in_light_last30_22dpf_L_tank3,11,22,21.5,Control,8,2,3,8,21,3.5
wt_in_light_last30_26dpf_L_tank3,11,26,25.5,Control,15,3,1,4,23,3.833333333
wt_in_light_last30_18dpf_R_tank4,12,18,17.5,Control,0,0,0,0,0,0
wt_in_light_last30_22dpf_R_tank4,12,22,21.5,Control,78,8,7,6,99,16.5
wt_in_light_last30_26dpf_R_tank4,12,26,25.5,Control,92,15,2,13,122,20.33333333
